order_id,product_name,quantity,price_eur,channel,order_date,status,manager,city,country,delivery_service,delivery_date
SC1-00001,Montessori Puzzle 6-shape,1,21.0,Instagram,2023-09-06 14:00:00,Completed,Manager_B,Sankt Pölten,Austria,DPD Austria,2023-09-11
SC1-00002,Wooden Block Set 40pcs,1,24.5,Website,2023-09-09 02:00:00,Completed,Manager_A,Wels,Austria,Österreichische Post,2023-09-10
SC1-00003,Silicone Building Blocks,1,30.5,Website,2023-09-11 19:00:00,New,Manager_A,Dornbirn,Austria,DPD Austria,
SC1-00004,Balance Bike 12-inch,1,106.5,Website,2023-09-12 19:00:00,Completed,Manager_A,Salzburg,Austria,Österreichische Post,2023-09-17
SC1-00005,Waldorf Rainbow Stacker,1,37.0,Instagram,2023-09-13 14:00:00,Completed,Manager_A,Sankt Pölten,Austria,Österreichische Post,2023-09-18
SC1-00006,Balance Bike 12-inch,1,97.5,Website,2023-09-19 13:00:00,Completed,Manager_A,Salzburg,Austria,DPD Austria,2023-09-25
SC1-00007,Wooden Train Track Set,1,55.0,Website,2023-09-20 09:00:00,Completed,Manager_B,Klagenfurt,Austria,DPD Austria,2023-09-25
SC1-00008,Wooden Train Track Set,1,49.0,Website,2023-09-22 14:00:00,Completed,Manager_A,Dornbirn,Austria,DPD Austria,2023-09-27
SC1-00009,Silicone Building Blocks,3,75.0,Website,2023-09-23 23:00:00,Completed,Manager_A,Wels,Austria,DPD Austria,2023-09-25
SC1-00010,Montessori Puzzle 6-shape,1,17.5,Website,2023-10-01 01:00:00,Completed,Manager_A,Dornbirn,Austria,Österreichische Post,2023-10-05
SC1-00011,Magnetic Drawing Board,1,23.0,Website,2023-10-01 04:00:00,Completed,Manager_A,Innsbruck,Austria,Österreichische Post,2023-10-05
SC1-00012,Wooden Kitchen Playset,1,81.5,Website,2023-10-02 20:00:00,Completed,Manager_A,Linz,Austria,Österreichische Post,2023-10-08
SC1-00013,Montessori Puzzle 6-shape,1,26.0,Instagram,2023-10-03 01:00:00,Completed,Manager_A,Linz,Austria,DPD Austria,2023-10-08
SC1-00014,Finger Paint Set,1,15.0,Website,2023-10-05 12:00:00,Completed,Manager_B,Salzburg,Austria,Österreichische Post,2023-10-08
SC1-00015,Felt Animal Sewing Kit,1,18.5,Instagram,2023-10-05 20:00:00,Cancelled,Manager_B,Vienna,Austria,DPD Austria,
SC1-00016,Finger Paint Set,1,14.0,Website,2023-10-07 08:00:00,Completed,Manager_B,Feldkirch,Austria,DPD Austria,2023-10-10
SC1-00017,Felt Animal Sewing Kit,1,16.0,Website,2023-10-07 13:00:00,Completed,Manager_A,Graz,Austria,DPD Austria,2023-10-11
SC1-00018,Magnetic Drawing Board,3,60.0,Website,2023-10-08 06:00:00,Completed,Manager_A,Graz,Austria,Österreichische Post,2023-10-11
SC1-00019,Silicone Building Blocks,1,25.0,Instagram,2023-10-09 12:00:00,New,Manager_A,Feldkirch,Austria,DPD Austria,
SC1-00020,Balance Bike 12-inch,2,208.0,Website,2023-10-10 20:00:00,Completed,Manager_B,Wels,Austria,DPD Austria,2023-10-15
SC1-00021,Wooden Train Track Set,1,49.0,Website,2023-10-11 22:00:00,Completed,Manager_A,Klagenfurt,Austria,Österreichische Post,2023-10-15
SC1-00022,Silicone Building Blocks,1,32.5,Instagram,2023-10-12 16:00:00,Completed,Manager_A,Feldkirch,Austria,Österreichische Post,2023-10-18
SC1-00023,Silicone Building Blocks,1,30.5,Website,2023-10-15 01:00:00,Completed,Manager_B,Feldkirch,Austria,DPD Austria,2023-10-17
SC1-00024,Finger Paint Set,1,13.0,Website,2023-10-18 14:00:00,Completed,Manager_A,Feldkirch,Austria,Österreichische Post,2023-10-24
SC1-00025,Felt Animal Sewing Kit,1,20.0,Website,2023-10-18 17:00:00,Completed,Manager_B,Sankt Pölten,Austria,DPD Austria,2023-10-22
SC1-00026,Silicone Building Blocks,2,61.0,Website,2023-10-19 03:00:00,Completed,Manager_A,Feldkirch,Austria,Österreichische Post,2023-10-23
SC1-00027,Montessori Puzzle 6-shape,1,22.5,Website,2023-10-20 04:00:00,Cancelled,Manager_A,Sankt Pölten,Austria,Österreichische Post,
SC1-00028,Wooden Kitchen Playset,3,214.5,Website,2023-10-21 05:00:00,Completed,Manager_B,Sankt Pölten,Austria,Österreichische Post,2023-10-22
SC1-00029,Magnetic Drawing Board,1,19.0,Website,2023-10-22 23:00:00,Completed,Manager_A,Graz,Austria,DPD Austria,2023-10-25
SC1-00030,Montessori Puzzle 6-shape,1,25.5,Website,2023-10-23 13:00:00,Completed,Manager_A,Innsbruck,Austria,Österreichische Post,2023-10-28
SC1-00031,Silicone Building Blocks,1,31.5,Website,2023-10-23 20:00:00,Completed,Manager_A,Sankt Pölten,Austria,DPD Austria,2023-10-28
SC1-00032,Balance Bike 12-inch,1,93.0,Website,2023-10-24 07:00:00,Completed,Manager_B,Salzburg,Austria,Österreichische Post,2023-10-26
SC1-00033,Waldorf Rainbow Stacker,1,38.0,Website,2023-10-25 08:00:00,Completed,Manager_B,Innsbruck,Austria,DPD Austria,2023-10-26
SC1-00034,Felt Animal Sewing Kit,1,15.5,Website,2023-10-26 01:00:00,Completed,Manager_B,Vienna,Austria,DPD Austria,2023-10-30
SC1-00035,Beeswax Modelling Kit,1,12.5,Website,2023-10-26 10:00:00,New,Manager_A,Graz,Austria,DPD Austria,
SC1-00036,Magnetic Drawing Board,2,41.0,Website,2023-10-28 07:00:00,Completed,Manager_A,Linz,Austria,Österreichische Post,2023-11-03
SC1-00037,Beeswax Modelling Kit,1,17.5,Website,2023-10-29 10:00:00,Completed,Manager_A,Innsbruck,Austria,DPD Austria,2023-10-30
SC1-00038,Wooden Train Track Set,2,120.0,Website,2023-10-31 08:00:00,Completed,Manager_B,Salzburg,Austria,Österreichische Post,2023-11-02
SC1-00039,Balance Bike 12-inch,1,124.5,Website,2023-10-31 23:00:00,Completed,Manager_B,Salzburg,Austria,Österreichische Post,2023-11-02
