order_id,product_name,quantity,price_pln,channel,order_date,status,manager,city,country,delivery_service,delivery_date
SC2-00001,Gym Bag Medium,1,58.5,Website,2023-04-04 16:00:00,New,Manager_B,Krakow,Poland,InPost Paczkomat,
SC2-00002,Gym Bag Medium,1,65.0,Website,2023-04-09 10:00:00,Completed,Manager_A,Gdansk,Poland,InPost Paczkomat,2023-04-12
SC2-00003,Creatine Monohydrate 500g,1,60.0,Website,2023-04-09 15:00:00,Completed,Manager_C,Wroclaw,Poland,InPost Paczkomat,2023-04-12
SC2-00004,Resistance Band Set 5pcs,1,49.0,Website,2023-04-13 14:00:00,Completed,Manager_C,Wroclaw,Poland,InPost Paczkomat,2023-04-14
SC2-00005,Shaker Bottle 700ml,2,33.0,Facebook Shop,2023-04-16 05:00:00,Completed,Manager_B,Warsaw,Poland,InPost Paczkomat,2023-04-21
SC2-00006,Omega-3 Fish Oil 90 capsules,1,38.5,Instagram,2023-04-16 11:00:00,Completed,Manager_B,Bydgoszcz,Poland,InPost Paczkomat,2023-04-18
SC2-00007,BCAA 2:1:1 Powder 400g,1,57.5,Instagram,2023-04-17 09:00:00,Completed,Manager_A,Lublin,Poland,InPost Paczkomat,2023-04-23
SC2-00008,Shaker Bottle 700ml,1,19.5,Website,2023-04-18 16:00:00,Completed,Manager_A,Wroclaw,Poland,InPost Paczkomat,2023-04-24
SC2-00009,Magnesium Complex 60 caps,1,34.5,Website,2023-04-19 14:00:00,Completed,Manager_B,Poznan,Poland,InPost Paczkomat,2023-04-24
SC2-00010,Whey Protein Concentrate 1kg Chocolate,1,92.5,Website,2023-04-19 19:00:00,Awaiting Payment,Manager_B,Katowice,Poland,InPost Paczkomat,
SC2-00011,Whey Protein Concentrate 1kg Chocolate,1,123.0,Website,2023-04-20 07:00:00,Completed,Manager_C,Szczecin,Poland,Poczta Polska,2023-04-25
SC2-00012,Pre-Workout Energy Powder 300g,1,83.0,Website,2023-04-24 10:00:00,Completed,Manager_B,Poznan,Poland,InPost Paczkomat,2023-04-29
SC2-00013,Whey Protein Concentrate 1kg Chocolate,1,110.5,Instagram,2023-04-29 08:00:00,Completed,Manager_A,Katowice,Poland,DPD Poland,2023-04-30
SC2-00014,Shaker Bottle 700ml,1,15.0,Website,2023-04-29 19:00:00,Completed,Manager_B,Lublin,Poland,InPost Paczkomat,2023-05-05
SC2-00015,Magnesium Complex 60 caps,1,29.0,Website,2023-05-04 04:00:00,Completed,Manager_C,Warsaw,Poland,DPD Poland,2023-05-08
SC2-00016,Collagen Peptides 300g,1,70.5,Instagram,2023-05-04 22:00:00,Completed,Manager_C,Katowice,Poland,InPost Paczkomat,2023-05-08
SC2-00017,Magnesium Complex 60 caps,1,26.5,Website,2023-05-05 03:00:00,Completed,Manager_C,Wroclaw,Poland,DPD Poland,2023-05-06
SC2-00018,Collagen Peptides 300g,1,75.5,Instagram,2023-05-05 22:00:00,Completed,Manager_C,Katowice,Poland,InPost Paczkomat,2023-05-09
SC2-00019,Creatine Monohydrate 500g,1,46.0,Instagram,2023-05-07 21:00:00,Completed,Manager_C,Lublin,Poland,DPD Poland,2023-05-13
SC2-00020,Whey Protein Concentrate 1kg Vanilla,1,101.5,Facebook Shop,2023-05-08 07:00:00,Completed,Manager_A,Warsaw,Poland,DPD Poland,2023-05-09
SC2-00021,Vitamin D3+K2 60 caps,3,72.0,Instagram,2023-05-09 10:00:00,Completed,Manager_B,Bydgoszcz,Poland,InPost Paczkomat,2023-05-12
SC2-00022,Resistance Band Set 5pcs,3,123.0,Website,2023-05-09 19:00:00,Completed,Manager_A,Katowice,Poland,Poczta Polska,2023-05-11
SC2-00023,Pre-Workout Energy Powder 300g,1,78.0,Facebook Shop,2023-05-12 04:00:00,Completed,Manager_C,Gdansk,Poland,InPost Paczkomat,2023-05-17
SC2-00024,Resistance Band Set 5pcs,1,48.0,Website,2023-05-13 09:00:00,Completed,Manager_B,Lodz,Poland,DPD Poland,2023-05-16
SC2-00025,Pre-Workout Energy Powder 300g,1,82.5,Website,2023-05-13 21:00:00,Completed,Manager_C,Katowice,Poland,DPD Poland,2023-05-17
SC2-00026,Resistance Band Set 5pcs,1,47.5,Website,2023-05-17 17:00:00,Completed,Manager_B,Szczecin,Poland,InPost Paczkomat,2023-05-20
SC2-00027,Creatine Monohydrate 500g,1,61.5,Instagram,2023-05-19 01:00:00,Completed,Manager_C,Katowice,Poland,DPD Poland,2023-05-25
SC2-00028,Collagen Peptides 300g,1,54.5,Website,2023-05-20 01:00:00,Completed,Manager_C,Warsaw,Poland,DPD Poland,2023-05-22
SC2-00029,Magnesium Complex 60 caps,1,37.5,Instagram,2023-05-20 05:00:00,Completed,Manager_C,Szczecin,Poland,InPost Paczkomat,2023-05-26
SC2-00030,Shaker Bottle 700ml,3,60.0,Facebook Shop,2023-05-21 17:00:00,Completed,Manager_B,Poznan,Poland,InPost Paczkomat,2023-05-23
SC2-00031,Omega-3 Fish Oil 90 capsules,1,30.0,Website,2023-05-21 22:00:00,Completed,Manager_A,Lublin,Poland,InPost Paczkomat,2023-05-22
SC2-00032,Vitamin D3+K2 60 caps,2,50.0,Website,2023-05-22 05:00:00,Completed,Manager_C,Wroclaw,Poland,InPost Paczkomat,2023-05-25
SC2-00033,Creatine Monohydrate 500g,1,63.5,Website,2023-05-22 21:00:00,Completed,Manager_A,Katowice,Poland,Poczta Polska,2023-05-28
SC2-00034,Collagen Peptides 300g,1,71.5,Instagram,2023-05-23 02:00:00,Completed,Manager_A,Gdansk,Poland,DPD Poland,2023-05-28
SC2-00035,Omega-3 Fish Oil 90 capsules,1,34.0,Website,2023-05-24 18:00:00,Completed,Manager_A,Bydgoszcz,Poland,InPost Paczkomat,2023-05-30
SC2-00036,Shaker Bottle 700ml,1,15.0,Instagram,2023-05-26 04:00:00,Completed,Manager_B,Wroclaw,Poland,InPost Paczkomat,2023-05-30
SC2-00037,Creatine Monohydrate 500g,1,61.5,Instagram,2023-05-27 05:00:00,Completed,Manager_C,Gdansk,Poland,DPD Poland,2023-05-28
SC2-00038,Shaker Bottle 700ml,2,36.0,Instagram,2023-06-01 05:00:00,Completed,Manager_A,Wroclaw,Poland,InPost Paczkomat,2023-06-07
SC2-00039,Shaker Bottle 700ml,1,18.5,Instagram,2023-06-02 05:00:00,Completed,Manager_C,Lodz,Poland,InPost Paczkomat,2023-06-03
SC2-00040,Omega-3 Fish Oil 90 capsules,1,43.5,Website,2023-06-02 18:00:00,Completed,Manager_C,Krakow,Poland,InPost Paczkomat,2023-06-05
SC2-00041,Magnesium Complex 60 caps,2,65.0,Website,2023-06-05 06:00:00,Completed,Manager_A,Szczecin,Poland,InPost Paczkomat,2023-06-07
SC2-00042,BCAA 2:1:1 Powder 400g,2,121.0,Website,2023-06-05 14:00:00,Completed,Manager_C,Gdansk,Poland,InPost Paczkomat,2023-06-07
SC2-00043,Creatine Monohydrate 500g,2,102.0,Website,2023-06-06 02:00:00,Completed,Manager_C,Katowice,Poland,InPost Paczkomat,2023-06-08
SC2-00044,Resistance Band Set 5pcs,2,80.0,Website,2023-06-07 06:00:00,Completed,Manager_C,Katowice,Poland,DPD Poland,2023-06-12
SC2-00045,Creatine Monohydrate 500g,1,64.0,Instagram,2023-06-08 00:00:00,New,Manager_B,Krakow,Poland,InPost Paczkomat,
SC2-00046,Whey Protein Concentrate 1kg Vanilla,3,271.5,Website,2023-06-08 11:00:00,Completed,Manager_B,Szczecin,Poland,DPD Poland,2023-06-12
SC2-00047,Resistance Band Set 5pcs,1,49.0,Website,2023-06-09 20:00:00,Completed,Manager_C,Lublin,Poland,DPD Poland,2023-06-15
SC2-00048,Magnesium Complex 60 caps,1,30.5,Instagram,2023-06-11 22:00:00,Completed,Manager_B,Warsaw,Poland,InPost Paczkomat,2023-06-17
SC2-00049,Pre-Workout Energy Powder 300g,2,176.0,Facebook Shop,2023-06-15 06:00:00,Completed,Manager_C,Katowice,Poland,InPost Paczkomat,2023-06-16
SC2-00050,Vitamin D3+K2 60 caps,1,23.5,Facebook Shop,2023-06-16 02:00:00,Completed,Manager_A,Lodz,Poland,Poczta Polska,2023-06-20
SC2-00051,Shaker Bottle 700ml,1,18.0,Website,2023-06-16 12:00:00,Completed,Manager_B,Warsaw,Poland,DPD Poland,2023-06-19
SC2-00052,Shaker Bottle 700ml,1,20.0,Website,2023-06-17 16:00:00,Completed,Manager_B,Lublin,Poland,InPost Paczkomat,2023-06-20
SC2-00053,Shaker Bottle 700ml,1,21.0,Website,2023-06-18 04:00:00,Completed,Manager_A,Wroclaw,Poland,InPost Paczkomat,2023-06-23
SC2-00054,Omega-3 Fish Oil 90 capsules,2,81.0,Facebook Shop,2023-06-18 05:00:00,Completed,Manager_C,Poznan,Poland,DPD Poland,2023-06-19
SC2-00055,Whey Protein Concentrate 1kg Vanilla,3,291.0,Website,2023-06-20 11:00:00,Completed,Manager_A,Krakow,Poland,InPost Paczkomat,2023-06-26
SC2-00056,Omega-3 Fish Oil 90 capsules,1,29.5,Website,2023-06-22 23:00:00,Completed,Manager_A,Krakow,Poland,InPost Paczkomat,2023-06-28
SC2-00057,BCAA 2:1:1 Powder 400g,1,66.5,Website,2023-06-25 15:00:00,Completed,Manager_A,Katowice,Poland,InPost Paczkomat,2023-06-26
